1883  MA 1905 09 08 01 43  0.00 Calabria centrale                        GALMO007   MI   38.8110   16.0000  0.00 10-11 10.50 bx   6.95  0.09 Wmim GALMO007                        860 10-11 10.50   38.8110   16.0000   1.40   1.90 bx4 10-11 10.50  6.90  0.10 bxn  MICAL006                         38.6000   15.4000  0.00   7.41  0.29 Pry_ MARAL993                       19050908_0143_000 1484  S N C    24.7475    40.0383 99999.0000
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199960 Rose                                          39.3990   16.2880 8      8.00 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199961 San Calogero                                  38.5730   16.0240 8      8.00 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199962 San Costantino                                38.7050   16.0020 8      8.00 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199963 San Costantino Calabro                        38.6310   16.0730 8      8.00 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199964 San Floro                                     38.8370   16.5190 8      8.00 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199965 San Gregorio d'Ippona                         38.6430   16.1050 8      8.00 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199966 San Marco Argentano                           39.5560   16.1190 8      8.00 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199967 San Nicol˜                                    38.6330   15.8510 8      8.00 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199968 San Pietro a Maida                            38.8460   16.3450 8      8.00 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199969 Santa Domenica                                38.6630   15.8660 8      8.00 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199970 Sant'Anna                                     38.3220   15.8870 8      8.00 IT
